Date,Time,Wind,Visibility,Observation,Temp,Humidity,WindChill,Pressure
12/11/2021,7:53,23,8,Light Snow and Breezy,17,56,-1,30.04
12/11/2021,6:53,29,9,Mostly Cloudy and Windy,16,59,-4,30.05
12/11/2021,5:53,38,2,Light Snow and Windy,11,67,-13,29.99
12/11/2021,4:53,32,2.5,Light Snow and Windy,11,67,-11,30.00
12/11/2021,3:49,31,3,Light Snow and Windy,13,64,-8,30.00
12/11/2021,2:53,32,2.5,Light Snow and Windy,12,67,-10,29.99
12/11/2021,1:53,22,10,Fair and Breezy,12,67,-7,30.00
12/11/2021,0:53,28,7,Partly Cloudy and Windy,11,70,-10,30.00
12/10/2021,23:53,28,2.5,Light Snow and Windy,11,70,-10,29.97
12/10/2021,22:53,25,8,Fair and Breezy,11,70,-9,29.97
12/10/2021,21:53,24,7,Fair and Breezy,11,70,-9,29.96
12/10/2021,20:53,27,4,Light Snow and Windy,12,73,-8,29.94
12/10/2021,19:53,25,6,Fair with Haze and Breezy,14,71,-5,29.93
12/10/2021,18:53,22,9,Mostly Cloudy and Breezy,14,73,-4,29.92
12/10/2021,17:53,13,10,Overcast,18,57,5,29.89
12/10/2021,16:53,16,10,Mostly Cloudy,15,67,-1,29.87
12/10/2021,15:53,8,10,A Few Clouds,17,62,7,29.84
12/10/2021,14:53,15,10,A Few Clouds,19,57,5,29.81
12/10/2021,13:53,16,0.75,Light Snow,19,71,4,29.78
12/10/2021,12:53,17,5,Overcast with Haze,17,70,1,29.75
12/10/2021,11:53,17,9,Overcast,16,71,0,29.74
12/10/2021,10:53,18,1.75,Light Snow,15,70,-2,29.73
12/10/2021,9:53,29,2.5,Light Snow,14,71,-4,29.72
12/10/2021,8:53,15,1.75,Light Snow,13,70,-3,29.69
12/10/2021,7:53,16,10,Overcast,10,69,-7,29.69
12/10/2021,6:53,20,10,Fair,13,64,-5,29.66
12/10/2021,5:53,26,10,A Few Clouds and Windy,15,67,-4,29.64
12/10/2021,4:53,24,10,Mostly Cloudy and Breezy,18,65,0,29.6
12/10/2021,3:53,23,10,Overcast and Breezy,21,68,5,29.58
12/10/2021,2:53,21,10,Overcast and Breezy,24,75,9,29.58
12/10/2021,1:53,15,1,Light Snow,25,81,13,29.57
12/10/2021,0:53,9,2.5,Light Snow,25,81,16,29.57
12/9/2021,23:53,12,3,Light Snow,25,81,14,29.58
12/9/2021,22:53,13,2,Light Snow,26,81,15,29.58
12/9/2021,21:53,6,1.5,Light Snow Fog/Mist,28,85,21,29.57
12/9/2021,20:53,3,1.25,Light Snow Fog/Mist,28,85,28,29.57
12/9/2021,19:53,0,0.75,Light Snow Fog/Mist,28,85,28,29.57
12/9/2021,18:53,0,0.75,Light Snow Fog/Mist,28,85,28,29.58
12/9/2021,17:53,0,0.5,Snow Freezing Fog,28,85,28,29.58
12/9/2021,16:53,3,1,Light Snow Fog/Mist,28,85,28,29.59
12/9/2021,15:53,7,0.75,Light Snow Fog/Mist,28,85,21,29.6
12/9/2021,14:53,9,0.5,Snow Freezing Fog,29,85,21,29.6
12/9/2021,13:53,6,0.25,Heavy Snow,30.00,82,24,29.6
12/9/2021,12:53,3,0.5,Snow,31,82,31,29.62
12/9/2021,11:53,5,0.25,Snow Freezing Fog,30.00,85,25,29.64
12/9/2021,10:53,7,1.25,Light Snow,32,82,25,29.67
12/9/2021,9:53,7,1,Light Snow,32,82,25,29.67
12/9/2021,8:53,13,0.25,Snow Freezing Fog,31,85,21,29.67
12/9/2021,7:53,13,0.75,Light Snow Fog/Mist,31,85,21,29.67
12/9/2021,6:53,14,10,Overcast,32,73,22,29.68
12/9/2021,5:53,10,10,Partly Cloudy,30.00,75,21,29.69
12/9/2021,4:53,17,10,Fair,31,69,20,29.68
12/9/2021,3:53,23,10,Fair and Breezy,31,72,18,29.66
12/9/2021,2:53,23,10,A Few Clouds and Breezy,33,66,21,29.66
12/9/2021,1:53,20,10,Fair,33,70,21,29.66
12/9/2021,0:53,17,10,Fair,34,67,23,29.65
12/8/2021,23:53,32,9,Light Snow and Windy,34,70,20,29.63
12/8/2021,22:53,30.00,9,Light Snow and Windy,34,73,20,29.63
12/8/2021,21:53,23,10,Mostly Cloudy and Breezy,33,75,21,29.65
12/8/2021,20:53,25,9,Overcast and Breezy,35,70,23,29.66
12/8/2021,19:53,25,10,A Few Clouds and Breezy,34,73,21,29.64
12/8/2021,18:53,29,9,Light Snow and Windy,36,62,23,29.64
12/8/2021,17:53,23,10,Fair and Breezy,36,64,24,29.65
12/8/2021,16:53,25,10,Fair and Breezy,37,59,25,29.66
12/8/2021,15:53,31,9,Light Snow and Windy,38,55,26,29.67
12/8/2021,14:53,35,10,Light Rain and Windy,40,49,28,29.68
12/8/2021,13:53,31,9,Light Snow and Windy,40,51,28,29.71
12/8/2021,12:53,26,9,Light Snow and Windy,38,52,27,29.75
12/8/2021,11:53,26,9,Fair and Windy,36,57,24,29.83
12/8/2021,10:53,31,9,Light Snow and Windy,38,55,26,29.87
12/8/2021,9:53,35,9,Light Snow and Windy,37,57,24,29.88
12/8/2021,8:53,23,10,Fair and Breezy,36,59,24,29.89
